Liste de la plupart des transistors utilisés :

Reference:	Description:
2N3725	SI-N 80V 0.5A 1W 35/60ns
2N3740	SI-P 60V 4A 25W >4MHz
2N3741	SI-N 80V 4A 25W >4MHz
2N3742	SI-N 300V 0.05A 1W >30MHz
2N3767	SI-N 100V 4A 20W >10MHz
2N3771	SI-N 50V 30A 150W POWER
2N3772	SI-N 100V 20A 150W POWER
2N3773	SI-N 160V 16A 150W POWER
2N3792	SI-P 80V 10A 150W 4MHz
2N3819	N-FET 25V 20mA 0.36W
2N3820	P-FET 20V 15mA 0.36W
2N3821	N-FET 50V 2.5mA 0.3W
2N3824	N-FET 50V 10mA 0.3W <250E
2N3866	SI-N 55V 0.4A 1W 175MHz
2N3904	SI-N 60V 0.2A .35W 300MHz
2N3906	SI-P 40V 0.2A .35W 250MHz
2N3909	P-FET 20V 10MA 0.3W
2N3958	N-FET 50V 5mA 0.25W
2N3963	SI-P 80V 0.2A 0.36W >40MHz
2N3972	N-FET 40V 50mA 1.8W
2N4001	SI-N 100V 1A 15W 40MHz
2N4033	SI-P 80V 1A 0.8W 150MHz
2N4036	SI-P 90V 1A 1W 60MHz
2N409	GE-P 13V 15mA 80mW 6.8MHz
2N4126	SI-P 25V 200mA HF
2N4220	N-FET 30V 0.2A
2N4236	SI-P 80V 3A 1W >3MHz
2N427	GE-P 30V 0.4A 0.15W B>40
2N428	GE-P 30V 0.4A 0.15W B>60
2N4286	SI-N 30V 0.05A 0.25W
2N4287	SI-N 45V 0.1A 0.25W 40MHz
2N4291	SI-P 40V 0.2A 0.25W 150MH
2N4302	N-FET 30V 0.5mA 0.3W
2N4347	SI-N 140V 5A 100W 0.8MHz
2N4348	SI-N 140V 10A 120W >0.2MHz
2N4351	N-FET 30V 30mA 0.3W 140KHz
2N4391	N-FET 40V 50mA 30E Up<10V
2N4392	N-FET 40V 25mA 60E Up<5V
2N4393	N-FET 40V 5mA 100E Up<3V
2N4401	SI-N 60V 0.6A 200MHz
2N4403	SI-P 40V 0.6A 200MHz
2N4416	N-FET 30V 15mA VHF/UHF
2N4420	SI-N 40V 0.2A 0.36W
2N4427	SI-N 40V 0.4A 1W 175MHz
2N4906	SI-P 80V 5A 87.5W >4MHz
2N4920	SI-P 80V 1A 30W
2N4923	SI-N 80V 1A 30W
2N5038	SI-N 150V 20A 140W 0.5us
2N5090	SI-N 55V 0.4A 4W 5mA
2N5109	SI-N 40V 0.5A 2.5W 1.5GHz
2N5116	P-FET 30V 5mA 150E Up<4V
2N5154	SI-N 100V 2A 10W
2N5179	SI-N 20V 50mA 0.2W >1GHz
2N5192	SI-N 80V 4A 40W 2MHz
2N5240	SI-N 375V 5A 100W >2MHz
2N5298	SI-N 80V 4A 36W >0.8MHz
2N5308	N-DARL 40V 0.3A 0.4W B>7K
2N5320	SI-N 100V 2A 10W AFSWITCH
2N5322	SI-P 100V 2A 10W AFSWITCH
2N5401	SI-P 160V 0.6A 0.31W
2N5416	SI-P 350V 1A 10W 15MHz
2N5433	N-FET 25V 0.4A 0.3W 7E
2N5457	N-FET 25V 1mA Up<6V
2N5458	N-FET 25V 2.9mA UNI
2N5460	P-FET 40V 5mA Up<6V GEN.P
2N5461	P-FET 40V 9mA 0.31W
2N5462	P-FET 40V 16mA Up<9V GEN.
2N5484	N-FET 25V 5mA 0.31W
2N5485	P-FET 25V 4mA Up<4V
2N5551	SI-N 180V 0.6A 0.31W VID.
2N5589	SI-N 36V 0.6A 3W 175MHz
2N5639	N-FET 30V 10mA 310mW
2N5672	SI-N 150V 30A 140W 0.5us
2N5680	SI-P 120V 1A 1W
2N5682	SI-N 120V 1A 1W >30MHz
2N5684	SI-P 80V 50A 200W
2N5686	SI-N 80V 50A 300W >2MHz
2N5770	SI-N 30V 0.05A 0.7W >900MHz
2N5771	SI-P 15V 50mA 625mW >850MHz
2N5876	SI-P 80V 10A 150W >4MHz
2N5878	SI-N 80V 10A 150W >4MHz
2N5879	SI-N 60V 10A 150W >4MHz
2N5884	SI-P 80V 25A 200W AFPOWSW
2N5886	SI-N 80V 25A 200W >4MHz
2N6031	SI-P 140V 16A 200W 1MHz
2N6050	P-DARL+D 60V 12A 100W
2N6059	SI-N 100V 12A 150W
2N6083	SI-N 36V 5A PQ=30W 175MHz
2N6098	SI-N 70V 10A 75W AFPOWSWITCH
2N6099	SI-N 70V 10A 75W AFPOWSWITCH
2N6109	SI-P 60V 7A 40W 10MHz
2N6124	SI-P 45V 4A 40W
2N6211	SI-P 275V 2A 20W 20MHz
2N6213	SI-P 400V 2A 35W >20MHz
2N6248	SI-P 110V 15A 125W >6MHz
2N6284	N-DARL 100V 20A 160W B>75
2N6287	P-DARL 100V 20A 160W
2N6292	SI-N 80V 7A 40W
2N6356	N-DARL 50V 20A 150W B>150
2N6422	SI-P 500V 2A 35W >10MHz
2N6427	N-DARL 40V 0.5A 0.625W
2N6476	SI-P 130V 4A 16W 5MHz
2N6488	SI-N 90V 15A 75W
2N6491	SI-P 90V 15A 30W
2N6517	SI-N 350V 0.5A 0.625W >40
2N6520	SI-P 350V 0.5A 0.625W >40
2N6547	SI-N 850/400V 15A 175W
2N6556	SI-P 100V 1A 10W >75MHz
2N6609	SI-P 160V 16A 150W 2MHz
2N6660	N-FET 60V 2A 6.25W 3E
2N6661	N-FET 90V 2A 6.2W 4E
2N6675	SI-N 400V 15A
2N6678	SI-N 400V 15A
2N6716	SI-N 60V 2A 2W 50MHz
2N6718	SI-N 100V 2A 2W 50MHz
2N6725	N-DARL 60V 2A 1W B>15K
2N6728	SI-P 60V 2A 2W >50MHz
2N697	SI-N 60V 1A 0.6W <50MHz
2N7002	N-FET 60V 0.115A 0.2W 7E5
2N914	SI-N 40V 0.5A <40/40NS SW
2N918	SI-N 30V 50mA 0.2W 600MHz
2SA1006B	SI-P 250V 1.5A 25W 80MHz
2SA1009	SI-P 350V 2A 15W
2SA1011	SI-P 160V 1.5A 25W 120MHz
2SA1013	SI-P 160V 1A 0.9W 50MHz
2SA1015	SI-P 50V 0.15A 0.4W 80MHz
2SA1016	SI-P 100V 0.05A 0.4W 110MHz
2SA1017	SI-P 120V 50mA 0.5W 110MHz
2SA1018	SI-P 250V 70mA 0.75W >50MHz
2SA1020	SI-P 50V 2A 0.9W 100MHz
2SA1027	SI-P 50V 0.2A 0.25W 100MHz
2SA1029	SI-P 30V 0.1A 0.2W 280MHz
2SA1034	SI-P 35V 50mA 0.2W 200MHz
2SA1037	SI-P 50V 0.4A 140MHz FR
2SA1048	SI-P 50V 0.15A 0.2W 80MHz
2SA1049	SI-P 120V 0.1A 0.2W 100MHz
2SA1061	SI-P 100V 6A 70W 15MHz
2SA1062	SI-N 120V 7A 80W 15MHz
2SA1065	SI-P 150V 10A 120W 50MHz
2SA1084	SI-P 90V 0.1A 0.4W 90MHz
2SA1103	SI-P 100V 7A 70W 20MHz
2SA1106	SI-P 140V 10A 100W 20MHz
2SA1110	SI-P 120V 0.5A 5W 250MHz
2SA1111	SI-P 150V 1A 20W 200MHz
2SA1112	SI-P 180V 1A 20W 200MHz
2SA1115	SI-P 50V 0.2A 200MHz UNI
2SA1120	SI-P 35V 5A 170MHz
2SA1123	SI-P 150V 50mA 0.75W 200MHz
2SA1124	SI-P 150V 50mA 1W 200MHz
2SA1127	SI-P 60V 0.1A 0.4W 200MHz
2SA1141	SI-P 115V 10A 100W 90MHz
2SA1142	SI-P 180V 0.1A 8W 180MHz
2SA1145	SI-P 150V 50mA 0.8W 200MHz
2SA1150	SI-P 35V 0.8A 0.3W 120MHz
2SA1156	SI-P 400V 0.5A 10W POWER
2SA1160	SI-P 20V 2A 0.9W 150MHz
2SA1163	SI-P 120V 0.1A 100MHz
2SA1170	SI-P 200V 17A 200W 20MHz
2SA1185	SI-P 50V 7A 60W 100MHz
2SA1186	SI-P 150V 10A 100W
2SA1200	SI-P 150V 50mA 0.5W 120MHz
2SA1201	SI-P 120V 0.8A 0.5W 120MHz
2SA1206	SI-P 15V 0.05A 0.6W
2SA1207	SI-P 180V 70mA 0.6W 150MHz
2SA1208	SI-P 180V 0.07A 0.9W
2SA1209	SI-P 180V 0.14A 10W
2SA1210	SI-P 200V 0.14A 10W
2SA1213	SI-P 50V 2A 0.5W 120MHz
2SA1215	SI-P 160V 15A 150W 50MHz
2SA1216	SI-P 180V 17A 200W 40MHz
2SA1220A	SI-P 120V 1.2A 20W 160MHz
2SA1221	SI-P 160V 0.5A 1W 45MHz
2SA1225	SI-P 160V 1.5A 15W 100MHz
2SA1227A	SI-P 140V 12A 120W 60MHz
2SA1232	SI-P 130V 10A 100W 60MHz
2SA1241	SI-P 50V 2A 10W 100MHz
2SA1242	SI-P 35V 5A 1W 170MHz
2SA1244	SI-P 60V 5A 20W 60MHz
2SA1249	SI-P 180V 1.5A 10W 120MHz
2SA1261	SI-P 100V 10A 60W POWER
2SA1262	SI-P 60V 4A 30W 15MHz
2SA1264N	SI-P 120V 8A 80W 30MHz
2SA1265N	SI-P 140V 10A 100W 30MHz
2SA1266	SI-P 50V 0.15A 0.4W POWER
2SA1268	SI-N 120V 0.1A 0.3W 100MHz
2SA1270	SI-P 35V 0.5A 0.5W 200MHz
2SA1271	SI-P 30V 0.8A 0.6W 120MHz
2SA1275	SI-P 160V 1A 0.9W 20MHz
2SA1282	SI-P 20V 2A 0.9W 80MHz
2SA1283	SI-P 60V 1A 0.9W 85MHz
2SA1286	SI-P 30V 1.5A 0.9W 90MHz
2SA1287	SI-P 50V 1A 0.9W 90MHz
2SA1292	SI-P 80V 15A 70W 100MHz
2SA1293	SI-P 100V 5A 30W 0.2us
2SA1294	SI-P 230V 15A 130W
2SA1295	SI-P 230V 17A 200W 35MHz
2SA1296	SI-P 20V 2A 0.75W 120MHz
2SA1298	SI-P 30V 0.8A 0.2W 120MHz
2SA1300	SI-P 10V 2A 0.75W 140MHz
2SA1302	SI-P 200V 15A 150W 25MHz
2SA1303	SI-P 150V 14A 125W 50MHz
2SA1306	SI-P 160V 1.5A 20W
2SA1306A	SI-P 180V 1.5A 20W 100MHz
2SA1307	SI-P 60V 5A 20W 0.1us
2SA1309	SI-P 30V 0.1A 0.3W 80MHz
2SA1310	SI-P 60V 0.1A 0.3W 200MHz
2SA1315	SI-P 80V 2A 0.9W 0.2us
2SA1316	SI-P 80V 0.1A 0.4W 50MHz
2SA1317	SI-P 60V 0.2A 0.3W 200MHz
2SA1318	SI-P 60V 0.2A 0.5W 200MHz
2SA1319	SI-P 180V 0.7A 0.7W 120MHz
2SA1321	SI-P 250V 50mA 0.9W 100MHz
2SA1328	SI-P 60V 12A 40W 0.3us
2SA1329	SI-P 80V 12A 40W 0.3us
2SA1345	SI-N 50V 0.1A 0.3W 250MHz
2SA1346	SI-P 50V 0.1A 200MHz
2SA1348	SI-P 50V 0.1A 200MHz
2SA1349	P-ARRAY 80V 0.1A 0.4W 170
2SA1352	SI-P 200V 0.1A 5W 70MHz
2SA1357	SI-P 35V 5A 10W 170MHz
2SA1358	SI-P 120V 1A 10W 120MHz
2SA1359	SI-P 40V 3A 10W 100MHz
2SA1360	SI-P 150V 50mA 5W 200MHz
2SA1361	SI-P 250V 50mA 80MHz
2SA1370	SI-P 200V 0.1A 1W 150MHz
2SA1371E	SI-P 300V 0.1A 1W 150MHz
2SA1376	SI-P 200V 0.1A 0.75W 120MHz
2SA1380	SI-P 200V 0.1A 1.2W
2SA1381	SI-P 300V 0.1A 150MHz
2SA1382	SI-P 120V 2A 0.9W 0.2us
2SA1383	SI-P 180V 0.1A 10W 180MHz
2SA1386	SI-P 160V 15A 130W 40MHz
2SA1387	SI-P 60V 5A 25W 80MHz
2SA1392	SI-P 60V 0.2A 0.4W 200MHz
2SA1396	SI-P 100V 10A 30W
2SA1399	SI-P 55V 0.4A 0.9W 150MHz
2SA1400	SI-P 400V 0.5A 10W
2SA1403	SI-P 80V 0.5A 10W 800MHz
2SA1405	SI-P 120V 0.3A 8W 500MHz
2SA1406	SI-P 200V 0.1A 7W 400MHz
2SA1407	SI-P 150V 0.1A 7W 400MHz
2SA1413	SI-P 600V 1A 10W 26MHz
2SA1428	SI-P 50V 2A 1W 100MHz
2SA1431	SI-P 35V 5A 1W 170MHz
2SA1441	SI-P 100V 5A 25W <300ns
2SA1443	SI-P 100V 10A 30W
2SA1450	SI-P 100V 0.5A 0.6W 120MHz
2SA1451	SI-P 60V 12A 30W 70MHz
2SA1460	SI-P 60V 1A 1W <40NS
2SA1470	SI-P 80V 7A 25W 100MHz
2SA1475	SI-P 120V 0.4A 15W 500MHz
2SA1476	SI-P 200V 0.2A 15W 400MHz
2SA1477	SI-P 180V 0.14A 10W 150MHz
2SA1488	SI-P 60V 4A 25W 15MHz
2SA1489	SI-P 80V 6A 60W 20MHz
2SA1490	SI-P 120V 8A 80W 20MHz
2SA1491	SI-P 140V 10A 100W 20MHz
2SA1494	SI-P 200V 17A 200W 20MHz
2SA1507	SI-P 180V 1.5A 10W 120MHz
2SA1515	SI-P 40V 1A 0.3W 150MHz
2SA1516	SI-P 180V 12A 130W 25MHz
2SA1519	SI-P 50V 0.5A 0.3W 200MHz
2SA1535A	SI-P 180V 1A 40W 200MHz
2SA1538	SI-P 120V 0.2A 8W 400MHz
2SA1539	SI-P 120V 0.3A 8W 400MHz
2SA1540	SI-P 200V 0.1A 7W 300MHz
2SA1541	SI-P 200V 0.2A 7W 300MHz
2SA1553	SI-P 230V 15A 150W 25MHz
2SA1566	SI-N 120V 0.1A 0.15W 130MHz
2SA1567	SI-P 50V 12A 35W 40MHz
2SA1568	SI-P 60V 12A 40W
2SA1577	SI-P 32V 0.5A 0.2W 200MHz
2SA1593	SI-P 120V 2A 15W 120MHz
2SA1601	SI-P 60V 15A 45W
2SA1606	SI-P 180V 1.5A 15W 100MHz
2SA1615	SI-P 30V 10A 15W 180MHz
2SA1624	SI-P 300V 0.1A 0.5W 70MHz
2SA1625	SI-P 400V 0.5A 0.75W
2SA1626	SI-P 400V 2A 1W 0.5/2.7us
2SA1633	SI-P 150V 10A 100W 20MHz
2SA1643	SI-P 50V 7A 25W 75MHz
2SA1667	SI-P 150V 2A 25W 20MHz
2SA1668	SI-P 200V 2A 25W 20MHz
2SA1670	SI-P 80V 6A 60W 20MHz
2SA1671	SI-P 120/120V 8A 75W 20MHz
2SA1672	SI-P 140V 10A 80W 20MHz
2SA1673	SI-P 180V 15A 85W 20MHz
2SA1680	SI-P 60V 2A 0.9W 100/400ns
2SA1684	SI-P 120V 1.5A 20W 150MHz
2SA1694	SI-P 120/120V 8A 80W 20MHz
2SA1695	SI-P 140V 10A 80W 20MHz
2SA1703	SI-P 30V 1.5A 1W 180MHz
2SA1706	SI-P 60V 2A 1W
2SA1708	SI-P 120V 1A 1W 120MHz
2SA1726	SI-P 80V 6A 50W 20MHz
2SA1776	SI-P 400V 1A 1W
2SA1803	SI-P 80V 6A 55W 30MHz
2SA1837	SI-P 230V 1A 20W 70MHz
2SA1930	SI-P 180V 2A 20W 200MHz
2SA1962	SI-P 230V 15A 130W 25MHz
2SA329	GE-P 15V 10mA 0.05W
2SA467	SI-P 40V 0,4A 0,3W
2SA473	SI-P 30V 3A 10W 100MHz
2SA483	SI-P 150V 1A 20W 9MHz
2SA493	SI-P 50V 0.05A 0.2W 80MHz
2SA495	SI-P 35V 0.1A 0.2W 200MHz
2SA562	SI-P 30V 0.5A 0.5W 200MHz
2SA566	SI-P 100V 0.7A 10W 100MHz
2SA608	SI-N 40V 0.1A 0.1W 180MHz
2SA614	SI-P 80V 1A 15W 30MHz
2SA620	SI-P 30V 0.05A 0.2W 120MHz
2SA626	SI-P 80V 5A 60W 15MHz
2SA628	SI-P 30V 0.1A 100MHz
2SA639	SI-P 180V 50mA 0,25W
2SA642	SI-P 30V 0.2A 0.25W 200MHz
2SA643	SI-P 40V 0.5A 0.5W 180MHz
2SA653	SI-P 150V 1A 15W 5MHz
2SA684	SI-P 60V 1A 1W 200MHz
2SA699	SI-P 40V 2A 10W 150MHz
2SA708A	SI-P 100V 0.7A 0.8W 50MHz
2SA720	SI-P 60V 0.5A 0.6W 200MHz
2SA725	SI-P 35V 0.1A 0.15W 100MHz
2SA733	SI-P 60V 0.15A 0.25W 50MHz
2SA738	SI-P 25V 1.5A 8W 160MHz
2SA747	SI-P 120V 10A 100W 15MHz
2SA756	SI-P 100V 6A 50W 20MHz
2SA762	SI-P 110V 2A 23W 80MHz
2SA765	SI-P 80V 6A 40W 10MHz
2SA768	SI-P 60V 4A 30W 10MHz
2SA769	SI-P 80V 4A 30W 10MHz
2SA770	SI-P 60V 6A 40W 10MHz
2SA771	SI-P 80V 6A 40W 2MHz
2SA777	SI-P 80V 0.5A 0.75W 120MHz
2SA778A	SI-P 180V 0.05A 0.2W 60MHz
2SA781	SI-P 20V 0.2A 0.2W <80/16
2SA794	SI-P 100V 0.5A 5W 120MHz
2SA794A	SI-P 120V 0.5A 5W 120MHz
2SA812	SI-P 50V 0.1A 0.15W
2SA814	SI-P 120V 1A 15W 30MHz
2SA816	SI-P 80V 0.75A 1.5W 100MHz
2SA817	SI-P 80V 0.3A 0.6W 100MHz
2SA817A	SI-P 80V 0.4A 0.8W 100MHz
2SA836	SI-P 55V 0.1A 0.2W 100MHz
2SA838	SI-P 30V 30mA 0.25W 300MHz
2SA839	SI-P 150V 1.5A 25W 6MHz
2SA841	SI-P 60V 0.05A 0.2W 140MHz
2SA858	SI-P 150V 50mA 0.5W 100MHz
2SA872	SI-P 90V 0.05A 0.2W 120MHz
2SA872A	SI-P 120V 50mA 0.3W 120MHz
2SA884	SI-P 65V 0.2A 0.27W 140MHz
2SA885	SI-P 45V 1A 5W 200MHz
2SA886	SI-P 50V 1.5A 1.2W
2SA893	SI-P 90V 50mA 0.3W
2SA900	SI-P 18V 1A 1.2W
2SA914	SI-P 150V 0.05A 200MHz
2SA915	SI-P 120V 0.05A 0.8W 80MHz
2SA916	SI-P 160V 0.05A 1W 80MHz
2SA921	SI-P 120V 20mA 0.25W 200MHz
2SA933	SI-P 50V 0.1A 0.3W
2SA934	SI-P 40V 0.7A 0.75W
2SA935	SI-P 80V 0.7A 0.75W 150MHz
2SA937	SI-P 50V 0.1A 0.3W 140MHz
2SA940	SI-P 150V 1.5A 25W 4MHz
2SA941	SI-P 120V 0.05A 0.3W 150MHz
2SA949	SI-P 150V 50mA 0.8W 120MHz
2SA965	SI-P 120V 0.8A 0.9W 120MHz
2SA966	SI-P 30V 1.5A 0.9W 120MHz
2SA968	SI-P 160V 1.5A 25W 100MHz
2SA970	SI-P 120V 0.1A 100MHz
2SA982	SI-P 140V 8A 80W 20MHz
2SA984	SI-P 60V 0.5A 0.5W 120MHz
2SA985	SI-P 120V 1.5A 25W 180MHz
2SA988	SI-P 120V 0.05A 0.5W
2SA991	SI-P 60V 0.1A 0.5W 90MHz
2SA992	SI-P 100V 0.05A 0.2W
2SA995	SI-P 100V 0.05A 0.4W 100MHz
2SB1009	SI-P 40V 2A 10W 100MHz
2SB1010	SI-P 40V 2A 0.75W 100MHz
2SB1012K	P-DARL 120V 1.5A 8W
2SB1013	SI-P 20V 2A 0.7W
2SB1015	SI-P 60V 3A 25W 0.4us
2SB1016	SI-P 100V 5A 30W 5MHz
2SB1017	SI-P 80V 4A 25W 9MHz
2SB1018	SI-P 100V 7A 30W 0.4us
2SB1020	P-DARL+D 100V 7A 30W 0.8us
2SB1023	P-DARL+D 60V 3A 20W B=5K
2SB1035	SI-P 30V 1A 0.9W 100MHz
2SB1039	SI-P 100V 4A 40W 20MHz
2SB1050	SI-P 30V 5A 1W 120MHz
2SB1055	SI-P 120V 6A 70W 20MHz
2SB1065	SI-P 60V 3A 10W
2SB1066	SI-P 50V 3A 1W 70MHz
2SB1068	SI-P 20V 2A 0.75W 180MHz
2SB1071	SI-P 40V 4A 25W 150MHz
2SB1077	P-DARL 60V 4A 40W B>1K
2SB1086	SI-P 160V 1.5A 20W 50MHz
2SB1098	P-DARL+D 100V 5A 20W B=80
2SB1099	P-DARL+D 100V 8A 25W B=6K
2SB1100	P-DARL+D 100V 10A 30W B=6
2SB1109	SI-P 160V 0.1A 1.25W
2SB1109S	SI-P 160V 0.1A 1.25W
2SB1117	SI-P 30V 3A 1W 280MHz
2SB1120	SI-P 20V 2.5A 0.5W 250MHz
2SB1121T	SI-P 30V 2A 150MHz
2SB1123	SI-P 60V 2A 0.5W 150MHz
2SB1132	SI-P 40V 1A 0.5W 150MHz
2SB1133	SI-P 60V 3A 25W 40MHz
2SB1134	SI-P 60V 5A 25W 30W
2SB1135	SI-P 60V 7A 30W 10MHz
2SB1136	SI-P 60V 12A 30W 10MHz
2SB1140	SI-P 25V 5A 10W 320MHz
2SB1141	SI-P 20V 1.2A 10W 150MHz
2SB1143	SI-P 60V 4A 10W 140MHz
2SB1146	P-DARL 120V 6A 25W
2SB1149	P-DARL 100V 3A 15W B=10K
2SB1151	SI-P 60V 5A 20W
2SB1154	SI-P 130V 10A 70W 30MHz
2SB1156	SI-P 130V 20A 100W
2SB1162	SI-P 160V 12A 120W
2SB1163	SI-P 170V 15A 150W
2SB1166	SI-P 60V 8A 20W 130MHz
2SB1168	SI-P 120V 4A 20W 130MHz
2SB1182	SI-P 40V 2A 10W 100MHz
2SB1184	SI-P 60V 3A 15W 70MHz
2SB1185	SI-P 50V 3A 25W 70MHz
2SB1186	SI-P 120V 1.5A 20W 50MHz
2SB1187	SI-P 80V 3A 35W
2SB1188	SI-P 40V 2A 100MHz
2SB1202	SI-P 60V 3A 15W 150MHz
2SB1203	SI-P 60V 5A 20W 130MHz
2SB1204	SI-P 60V 8A 20W 130MHz
2SB1205	SI-P 25V 5A 10W 320MHz
2SB1212	SI-P 160V 1.5A 0.9W 50MHz
2SB1223	P-DARL+D 70V 4A 20W 20MHz
2SB1236	SI-P 120V 1.5A 1W 50MHz
2SB1237	SI-P 40V 1A 1W 150MHz
2SB1238	SI-P 80V 0.7A 1W 100MHz
2SB1240	SI-P 40V 2A 1W 100MHz
2SB1243	SI-P 60V 3A 1W
2SB1254	P-DARL 160V 7A 70W
2SB1255	P-DARL 160V 8A 100W B>5K
2SB1258	P-DARL+D 100V 6A 30W B>1K
2SB1274	SI-P 60V 3A 30W 100MHz
2SB1282	P-DARL+D 100V 4A 25W 50MHz
2SB1292	SI-P 80V 5A 30W
2SB1302	SI-P 25V 5A 320MHz
2SB1318	P-DARL+D 100V 3A 1W B>200
2SB1326	SI-P 30V 5A 0.3W 120MHz
2SB1329	SI-P 40V 1A 1.2W 150MHz
2SB1330	SI-P 32V 0.7A 1.2W 100MHz
2SB1331	SI-P 32V 2A 1.2W 100MHz
2SB1353E	SI-P 120V 1.5A 1.8W 50MHz
2SB1361	SI-P 150V 9A 100W 15MHz
2SB1370	SI-P 60V 3A 30W 15MHz
2SB1373	SI-P 160V 12A 2.5W 15MHz
2SB1375	SI-P 60V 3A 25W 9MHz
2SB1382	P-DARL+D 120V 16A 75W B>2
2SB1393	SI-P 30V 3A 2W 30MHz
2SB1420	SI-P 120V 16A 80W 50MHz
2SB1425	SI-P 20V 2A 1W 90MHz
2SB1429	SI-P 180V 15A 150W 10MHz
2SB1434	SI-P 50V 2A 1W 110MHz
2SB1468	SI-P 60/30V 12A 25W
2SB1470	P-DARL 160V 8A 150W B>5K
2SB1490	P-DARL 160V 7A 90W B>5K
2SB1493	P-DARL 160/140V 7A 70W 20
2SB1503	P-DARL 160V 8A 120W B>5K
2SB1556	P-DARL 140V 8A 120W B>5K
2SB1557	P-DARL 140V 7A 100W B>5K
2SB1559	P-DARL 160V 8A 80W B>5K
2SB1560	P-DARL 160V 10A 100W 50MHz
2SB1565	SI-P 80V 3A 25W 15MHz
2SB1587	P-DARL+D 160V 8A 70W B>5K
2SB1624	P-DARL 110V 6A 60W B>5K
2SB206	GE-P 80V 30A 80W
2SB324	GE-P 32V 1A 0.25W
2SB337	GE-P 50V 7A 30W LF-POWER
2SB407	GE-P 30V 7A 30W
2SB481	GE-P 32V 1A 6W 15KHz
2SB492	GE-P 25V 2A 6W
2SB511E	SI-P 35V 1.5A 10W 8MHz
2SB524	SI-P 60V 1.5A 10W 70MHz
2SB527	SI-P 110V 0.8A 10W 70MHz
2SB531	SI-P 90V 6A 50W 8MHz
2SB536	SI-P 130V 1.5A 20W 40MHz
2SB537	SI-P 130V 1.5A 20W 60MHz
2SB541	SI-P 110V 8A 80W 9MHz
2SB544	SI-P 25V 1A 0.9W 180MHz
2SB546A	SI-P 200V 2A 25W 5MHz
2SB549	SI-P 120V 0.8A 10W 80MHz
2SB557	SI-P 120V 8A 80W
2SB560	SI-P 100V 0.7A 0.9W 100MHz
2SB561	SI-P 25V 0.7A 0.5W
2SB564	SI-P 30V 1A 0.8W
2SB598	SI-P 25V 1A 0.5W 180MHz
2SB600	SI-P 200V 15A 200W 4MHz
2SB601	P-DARL 100V 5A 30W
2SB605	SI-P 60V 0.7A 0.8W 120MHz
2SB621	SI-N 25V 1.5A 0.6W 200MHz
2SB621A	SI-N 50V 1A 0.75W 200MHz
2SB631	SI-P 100V 1A 8W
2SB632	SI-P 25V 2A 10W 100MHz
2SB633	SI-P 100V 6A 40W 15MHz
2SB637	SI-P 50V 0.1A 0.3W 200MHz
