Liste de la plupart des diodes utilisées :

Reference:	Description:
1N1158	SI-D 100V 20A
1N1159	SI-D 200V 20A
1N1160	SI-D 300V 20A
1N1161	SI-D 50V 35A
1N1162	SI-D 100V 35A
1N1163	SI-D 200V 35A
1N1164	SI-D 300V 35A
1N1170	GE-D 50V
1N1171	SI-D = 1N1157
1N1172	SI-D = 1N1158
1N1173	SI-D = 1N1159
1N1174	SI-D = 1N1160
1N1175	SI-D = 1N1161
1N1176	SI-D = 1N1162
1N1177	SI-D = 1N1163
1N1178	SI-D = 1N1164
1N1183	SI-D 50V 35A/480Ap
1N1184	SI-D 100V 35A/480Ap
1N1185	SI-D 150V 35A/480Ap
1N1186	SI-D 200V 35A/480Ap
1N1187	SI-D 300V 35A/480Ap
1N1188	SI-D 400V 35A/480Ap
1N1189	SI-D 500V 35A/480Ap
1N1190	SI-D 600V 35A/480Ap
1N1217	SI-D 50V 1.6A
1N1218	SI-D 100V 1.6A
1N1219	SI-D 150V 1.6A
1N1220	SI-D 200V 1.6A
1N1221	SI-D 300V 1.6A
1N1222	SI-D 400V 1.6A
1N1223	SI-D 500V 1.6A
1N1224	SI-D 600V 1.6A
1N1225	SI-D 700V 1.6A
1N1226	SI-D 800V 1.6A
1N1227	SI-D 50V 1.6A
1N1228	SI-D 100V 1.6A
1N1229	SI-D 150V 1.6A
1N1230	SI-D 200V 1.6A
1N1231	SI-D 300V 1.6A
1N1232	SI-D 400V 1.6A
1N1233	SI-D 500V 1.6A
1N1234	SI-D 600V 1.6A
1N1235	SI-D 700V 1.6A
1N1236	SI-D 800V 1.6A
1N1237	2xSI-D 1600V 0.75A
1N1238	2xSI-D 1600V 0.75A
1N1239	2xSI-D 2800V 0.5A
1N1251	SI-D 50V 0.5A
1N1252	SI-D 100V 0.5A
1N1253	SI-D 200V 0.5A
1N1254	SI-D 300V 0.5A
1N1255	SI-D 400V 0.5A
1N1256	SI-D 500V 0.32A
1N1257	SI-D 600V 0.3A
1N1258	SI-D 700V 0.28A
1N1259	SI-D 800V 0.27A
1N1260	SI-D 900V 0.25A
1N1261	SI-D 1000V 0.24A
1N1262	SI-D 4.5KV 0.25A
1N1301	SI-D 50V 37A
1N1302	SI-D 100V 37A
1N1304	SI-D 200V 37A
1N1306	SI-D 300V 37A
1N1329	SI-D 1500V 0.1A
1N1396	SI-D 50V 70A
1N1397	SI-D 100V 70A
1N1398	SI-D 150V 70A
1N1399	SI-D 200V 70A
1N1400	SI-D 300V 70A
1N1401	SI-D 400V 70A
1N1402	SI-D 500V 70A
1N1403	SI-D 600V 70A
1N1406	SI-D 600V 0.125A
1N1407	SI-D 800V 0.125A
1N1408	SI-D 1000V 0.125A
1N1409	SI-D 1200V 0.125A
1N1410	SI-D 1500V 0.125A
1N1411	SI-D 1800V 0.125A
1N1412	SI-D 2000V 0.125A
1N1413	SI-D 2400V 0.125A
1N1414	SI-D 400V 10A
1N1415	SI-D 400V 1A
1N1434	SI-D 50V 30A
1N1435	SI-D 100V 30A
1N1436	SI-D 200V 30A
1N1437	SI-D 400V 30A
1N1438	SI-D 600V 30A
1N1439	SI-D 100V 0.75A
1N1440	SI-D 200V 0.75A
1N1441	SI-D 300V 0.75A
1N1442	SI-D 400V 0.75A
1N1445	SI-D 300V 0.2A
1N1446	SI-D 100V 1.5A
1N1447	SI-D 200V 1.5A
1N1448	SI-D 300V 1.5A
1N1449	SI-D 400V 1.5A
1N1450	SI-D 100V 1.5A
1N1451	SI-D 200V 1.5A
1N1452	SI-D 300V 1.5A
1N1453	SI-D 400V 1.5A
1N1454	SI-D 100V 25A
1N1455	SI-D 200V 25A
1N1456	SI-D 300V 25A
1N1457	SI-D 400V 25A
1N1458	SI-D 100V 35A
1N1459	SI-D 200V 35A
1N1460	SI-D 300V 35A
1N1461	SI-D 400V 35A
1N1462	SI-D 100V 50A
1N1463	SI-D 200V 50A
1N1464	SI-D 300V 50A
1N1465	SI-D 400V 50A
1N1466	SI-D 100V 75A
1N1467	SI-D 200V 75A
1N1468	SI-D 300V 75A
1N1469	SI-D 400V 75A
1N1486	SI-D 500V 0.78A
1N1487	SI-D 100V 0.75A
1N1488	SI-D 200V 0.75A
1N1489	SI-D 300V 0.75A
1N1490	SI-D 400V 0.75A
1N1491	SI-D 500V 0.75A
1N1492	SI-D 600V 0.75A
1N1537	SI-D 50V 1.6A
1N1538	SI-D 100V 1.6A
1N1539	SI-D 150V 1.6A
1N1540	SI-D 200V 1.6A
1N1541	SI-D 300V 1.6A
1N1542	SI-D 400V 1.6A
1N1543	SI-D 500V 1.6A
1N1544	SI-D 600V 1.6A
1N1551	SI-D 100V 1A
1N1552	SI-D 200V 1A
1N1553	SI-D 300V 1A
1N1554	SI-D 400V 1A
1N1555	SI-D 500V 1A
1N1556	SI-D 100V 0.75A
1N1557	SI-D 200V 0.75A
1N1558	SI-D 300V 0.75A
1N1559	SI-D 400V 0.75A
1N1560	SI-D 500V 0.75A
1N1569	SI-D 100V 1A
1N1570	SI-D 200V 1A
1N1571	SI-D 300V 1A
1N1572	SI-D 400V 1A
1N1573	SI-D 500V 1A
1N1574	SI-D 600V 1A
1N1575	SI-D 100V 3.5A
1N1576	SI-D 200V 3.5A
1N1577	SI-D 300V 3.5A
1N1578	SI-D 400V 3.5A
1N1579	SI-D 500V 3.5A
1N1580	SI-D 600V 3.5A
1N1581	SI-D 50V 10A
1N1582	SI-D 100V 10A
1N1583	SI-D 200V 10A
1N1584	SI-D 300V 10A
1N1585	SI-D 400V 10A
1N1586	SI-D 500V 10A
1N1587	SI-D 600V 10A
1N1617	SI-D 100V 1.5A
1N1618	SI-D 200V 1.5A
1N1619	SI-D 300V 1.5A
1N1620	SI-D 400V 1.5A
1N1621	SI-D 100V 10A
1N1622	SI-D 200V 10A
1N1623	SI-D 300V 10A
1N1624	SI-D 400V 10A
1N1644	SI-D 50V 0.75A
1N1645	SI-D 100V 0.75A
1N1646	SI-D 150V 0.75A
1N1647	SI-D 200V 0.75A
1N1648	SI-D 250V 0.75A
1N1649	SI-D 300V 0.75A
1N1650	SI-D 350V 0.75A
1N1651	SI-D 400V 0.75A
1N1652	SI-D 500V 0.75A
1N1653	SI-D 600V 0.75A
1N1680	SI-D 150V 50A
1N1681	SI-D 250V 50A
1N1682	SI-D 300V 50A
1N1683	SI-D 350V 50A
1N1684	SI-D 400V 50A
1N1685	SI-D 450V 50A
1N1686	SI-D 500V 50A
1N1687	SI-D 600V 50A
1N1688	SI-D 700V 50A
1N1689	SI-D 800V 50A
1N1690	SI-D 900V 50A
1N1691	SI-D 1000V 50A
1N1692	SI-D 100V 0.75A
1N1693	SI-D 200V 0.75A
1N1694	SI-D 300V 0.75A
1N1695	SI-D 400V 0.75A
1N1696	SI-D 500V 0.75A
1N1697	SI-D 600V 0.75A
1N1698	SI-D 6.6KV 0.062A
1N1699	SI-D 10KV 0.058A
1N1700	SI-D 12KV 0.05A
1N1701	SI-D 50V 0.3A
1N1702	SI-D 100V 0.3A
1N1703	SI-D 200V 0.3A
1N1704	SI-D 300V 0.3A
1N1705	SI-D 400V 0.3A
1N1706	SI-D 500V 0.3A
1N1707	SI-D 50V 0.5A
1N1708	SI-D 100V 0.3A
1N1709	SI-D 200V 0.3A
1N1710	SI-D 300V 0.3A
1N1711	SI-D 400V 0.3A
1N1712	SI-D 500V 0.3A
1N1730	SI-D 1KV 0.2A
1N1730A	SI-D 1KV 0.35A
1N1731	SI-D 1.5KV 0.2A
1N1731A	SI-D 1.5KV 0.35A
1N1732	SI-D 2KV 0.2A
1N1732A	SI-D 2KV 0.35A
1N1733	SI-D 3KV 0.2A
1N1733A	SI-D 3KV 0.35A
1N1734	SI-D 5KV 0.2A
1N1734A	SI-D 5KV 0.35A
1N1745	SI-D 1.5KV 0.38A
1N1746	SI-D 1.5KV 0.44A
1N1747	SI-D 1.8KV 0.36A
1N1748	SI-D 1.8KV 0.42A
1N1749	SI-D 2.4KV 0.23A
1N1750	SI-D 2.4KV 0.38A
1N1751	SI-D 3.6KV 0.37A
1N1752	SI-D 3.6KV 0.36A
1N1753	SI-D 4.8KV 0.33A
1N1754	SI-D 4.8KV 0.32A
1N1755	SI-D 6KV 0.29A
1N1756	SI-D 6KV 0.36A
1N1757	SI-D 7.2KV 0.29A
1N1758	SI-D 7.2KV 0.33A
1N1759	SI-D 8KV 0.25A
1N1760	SI-D 12KV 0.25A
1N1761	SI-D 14KV 0.3A
1N1762	SI-D 16KV 0.25A
1N1763	SI-D 400V 0.5..1A
1N1764	SI-D 500V 0.5..1A
1N1907	SI-D 50V 1.5A
1N1908	SI-D 100V 1.5A
1N1909	SI-D 200V 1.5A
1N1910	SI-D 300V 1.5A
1N1911	SI-D 400V 1.5A
1N1912	SI-D 500V 1.5A
1N1913	SI-D 600V 1.5A
1N1914	SI-D 700V 1.5A
1N1915	SI-D 800V 1.5A
1N1916	SI-D 900V 1.5A
1N1917	SI-D 50V 4A
1N1918	SI-D 100V 4A
1N1919	SI-D 200V 4A
1N1920	SI-D 300V 4A
1N1921	SI-D 400V 4A
1N1922	SI-D 500V 4A
1N1923	SI-D 600V 4A
1N1924	SI-D 700V 4A
1N1925	SI-D 800V 4A
1N1926	SI-D 900V 4A
1N2013	SI-D 50V 0.2A
1N2014	SI-D 100V 0.2A
1N2015	SI-D 150V 0.2A
1N2016	SI-D 200V 0.2A
1N2017	SI-D 250V 0.2A
1N2018	SI-D 300V 0.2A
1N2019	SI-D 350V 0.2A
1N2020	SI-D 400V 0.2A
1N2021	SI-D 150V 10A
1N2022	SI-D 250V 10A
1N2023	SI-D 300V 10A
1N2024	SI-D 350V 10A
1N2025	SI-D 400V 10A
1N2026	SI-D 50V 1A
1N2027	SI-D 200V 1A
1N2028	SI-D 300V 1A
1N2029	SI-D 400V 1A
1N2030	SI-D 500V 1A
1N2031	SI-D 600V 1A
1N2072	SI-D 50V 0.75A
1N2073	SI-D 100V 0.75A
1N2074	SI-D 150V 0.75A
1N2075	SI-D 200V 0.75A
1N2076	SI-D 250V 0.75A
1N2077	SI-D 300V 0.75A
1N2078	SI-D 400V 0.75A
1N2079	SI-D 500V 0.75A
1N2080	SI-D 50V 0.5A
1N2081	SI-D 100V 0.5A
1N2082	SI-D 200V 0.5A
1N2083	SI-D 300V 0.5A
1N2084	SI-D 400V 0.5A
1N2085	SI-D 500V 0.5A
1N2086	SI-D 600V 0.5A
1N2088	SI-D 500V 0.75A
1N2089	SI-D 600V 0.75A
1N2090	SI-D 50V 0.75A
1N2091	SI-D 100V 0.75A
1N2092	SI-D 200V 0.75A
1N2093	SI-D 300V 0.75A
1N2094	SI-D 400V 0.75A
1N2095	SI-D 500V 0.75A
1N2096	SI-D 600V 0.75A
1N2103	SI-D 50V 0.75A
1N2104	SI-D 100V 0.75A
1N2105	SI-D 200V 0.75A
1N2106	SI-D 300V 0.75A
1N2107	SI-D 400V 0.75A
1N2108	SI-D 500V 0.75A
1N2109	SI-D 50V 2A
1N2110	SI-D 100V 2A
1N2111	SI-D 200V 2A
1N2112	SI-D 300V 2A
1N2113	SI-D 400V 2A
1N2114	SI-D 500V 2A
1N2115	SI-D 365V 0.3A
1N2116	SI-D 400V 0.75A
1N2117	SI-D 720V 0.75A
1N2128	SI-D 50V 60A
1N2129	SI-D 100V 60A
1N2130	SI-D 150V 60A
1N2131	SI-D 200V 60A
1N2132	SI-D 250V 60A
1N2133	SI-D 300V 60A
1N2134	SI-D 350V 60A
1N2135	SI-D 400V 60A
1N2136	SI-D 450V 60A
1N2137	SI-D 500V 60A
1N2138	SI-D 600V 60A
1N2139	SI-D 20KV 0.045A
1N2146	SI-D 120V <50ns
1N2154	SI-D 50V 25A
1N2155	SI-D 100V 25A
1N2156	SI-D 200V 25A
1N2157	SI-D 300V 25A
1N2158	SI-D 400V 25A
1N2159	SI-D 500V 25A
1N2160	SI-D 600V 25A
1N2172	SI-D 50V 50A
1N2173	SI-D 100V 50A
1N2174	SI-D 200V 50A
1N2176	SI-D 50V 3A
1N2177	SI-D 100V 3A
1N2178	SI-D 200V 3A
1N2179	SI-D 300V 3A
1N2180	SI-D 400V 3A
1N2181	SI-D 500V 3A
1N2182	SI-D 600V 3A
1N2183	SI-D 100V 3A
1N2184	SI-D 50V 3A
1N2185	SI-D 100V 3A
1N2186	SI-D 150V 3A
1N2187	SI-D 200V 3A
1N2188	SI-D 300V 3A
1N2189	SI-D 400V 3A
1N2190	SI-D 500V 3A
1N2191	SI-D 600V 3A
1N2192	SI-D 800V 3A
1N2193	SI-D 1000V 3A
1N2194	SI-D 50V 6A
1N2195	SI-D 100V 6A
1N2196	SI-D 150V 6A
1N2197	SI-D 200V 6A
1N2198	SI-D 300V 6A
1N2199	SI-D 400V 6A
1N2200	SI-D 500V 6A
1N2201	SI-D 600V 6A
1N2202	SI-D 800V 6A
1N2203	SI-D 1000V 6A
1N2204	SI-D 50V 12A
1N2205	SI-D 100V 12A
1N2206	SI-D 150V 12A
1N2207	SI-D 200V 12A
1N2208	SI-D 300V 12A
1N2209	SI-D 400V 12A
1N2210	SI-D 500V 12A
1N2211	SI-D 600V 12A
1N2212	SI-D 800V 12A
1N2213	SI-D 1000V 12A
1N2266	SI-D 50V 1A
1N2267	SI-D 50V 1A ISO
1N2268	SI-D 500V 1A
1N2269	SI-D 500V 1A ISO
1N2270	SI-D 600V 1A
1N2271	SI-D 600V 1A ISO
1N2272	SI-D 50V 6A
1N2273	SI-D 100V 6A
1N2274	SI-D 200V 6A
1N2275	SI-D 300V 6A
1N2276	SI-D 400V 6A
1N2277	SI-D 500V 6A
1N2278	SI-D 600V 6A
1N2279	SI-D 800V 6A
1N2280	SI-D 1000V 6A
1N2281	SI-D 1200V 6A
1N2282	SI-D 300V 20A
1N2283	SI-D 400V 20A
1N2284	SI-D 500V 20A
1N2285	SI-D 600V 20A
1N2286	SI-D 800V 20A
1N2287	SI-D 1000V 20A
1N2288	SI-D 1200V 20A
1N2289A	SI-D 100V 1.5A
1N2290A	SI-D 100V 5A
1N2291A	SI-D 200V 1.5A
1N2292A	SI-D 300V 1.5A
1N2293A	SI-D 400V 1.5A
1N2294	SI-D 50V 22A
1N2295	SI-D 100V 22A
1N2296	SI-D 150V 22A
1N2297	SI-D 200V 22A
1N2298	SI-D 250V 22A
1N2299	SI-D 300V 22A
1N2300	SI-D 350V 22A
1N2301	SI-D 400V 22A
1N2302	SI-D 50V 22A
1N2303	SI-D 100V 22A
1N2304	SI-D 150V 22A
1N2305	SI-D 200V 22A
1N2306	SI-D 250V 22A
1N2307	SI-D 300V 22A
1N2308	SI-D 350V 22A
1N2309	SI-D 400V 22A
1N2310	SI-D 50V 35A
1N2311	SI-D 100V 35A
1N2312	SI-D 150V 35A
1N2313	SI-D 200V 35A
1N2314	SI-D 250V 35A
1N2315	SI-D 300V 35A
1N2316	SI-D 350V 35A
1N2317	SI-D 400V 35A
1N2318	SI-D 50V 35A
1N2319	SI-D 100V 35A
1N2320	SI-D 150V 35A
1N2321	SI-D 200V 35A
1N2322	SI-D 250V 35A
1N2323	SI-D 300V 35A
1N2324	SI-D 350V 35A
1N2325	SI-D 400V 35A
1N2327	SI-D 1100V 0.4A
1N2328	SI-D 2200V 0.4A
1N2348	SI-D 50V 3A
1N2349	SI-D 100V 3A
1N2350	SI-D 150V 3A
1N2357	SI-D 1400V 0.4A
1N2358	SI-D 1500V 0.4A
1N2359	SI-D 1600V 0.4A
1N2360	SI-D 1800V 0.4A
1N2361	SI-D 2000V 0.4A
1N2362	SI-D 1400V 1A
1N2363	SI-D 1400V 1A ISO
1N2364	SI-D 1500V 1A
1N2365	SI-D 1500V 1A ISO
1N2366	SI-D 1600V 1A
1N2367	SI-D 1600V 1A ISO
1N2368	SI-D 1800V 1A
1N2369	SI-D 1800V 1A ISO
1N2370	SI-D 2000V 1A
1N2371	SI-D 2000V 1A ISO
1N2372	SI-D 1000V 0.2A
1N2373	SI-D 600V 0.25A
1N2374	SI-D 1000V 0.25A
1N2375	SI-D 1500V 0.2A
1N2376	SI-D 2000V 0.2A
1N2377	SI-D 2400V 0.15A
1N2378	SI-D 3000V 0.15A
1N2379	SI-D 4000V 0.15A
1N2380	SI-D 6000V 0.1A
1N2381	SI-D 10000V 0.075A
1N2382	SI-D 4KV 0.15A
1N2382A	SI-D 4KV 0.35A
1N2383	SI-D 6KV 0.1A
1N2383A	SI-D 6KV 0.35A
1N2384	SI-D 8KV 0.07A
1N2384A	SI-D 8KV 0.275A
1N2385	SI-D 10KV 0.07A
1N2385A	SI-D 10KV 0.2A
1N2389	2xSI-D 1600V 0.6A
1N2446	SI-D 50V 45A
1N2447	SI-D 100V 45A
1N2448	SI-D 150V 45A
1N2449	SI-D 200V 45A
1N2450	SI-D 250V 45A
1N2451	SI-D 300V 45A
1N2452	SI-D 350V 45A
1N2453	SI-D 400V 45A
1N2454	SI-D 500V 45A
1N2455	SI-D 600V 45A
1N2456	SI-D 700V 45A
1N2457	SI-D 800V 45A
1N2458	SI-D 50V 60A
1N2459	SI-D 100V 60A
1N2460	SI-D 150V 60A
1N2461	SI-D 200V 60A
1N2462	SI-D 250V 60A
1N2463	SI-D 300V 60A
1N2464	SI-D 350V 60A
1N2465	SI-D 400V 60A
1N2466	SI-D 500V 60A
1N2467	SI-D 600V 60A
1N2468	SI-D 700V 60A
1N2469	SI-D 800V 60A
1N2482	SI-D 200V 0.75A
1N2483	SI-D 400V 0.75A
1N2484	SI-D 600V 0.75A
1N2485	SI-D 200V 0.75A
1N2486	SI-D 300V 0.75A
1N2487	SI-D 400V 0.75A
1N2488	SI-D 500V 0.75A
1N2489	SI-D 600V 0.75A
1N2490	2xSI-D 1600V 0.5A
1N2491	SI-D 50V 6A
1N2492	SI-D 100V 6A
1N2493	SI-D 200V 6A
1N2494	SI-D 300V 6A
1N2495	SI-D 400V 6A
1N2496	SI-D 500V 6A
1N2497	SI-D 600V 6A
1N2501	SI-D 800V 0.15A
1N2502	SI-D 1000V 0.15A
1N2503	SI-D 1200V 0.15A
1N2504	SI-D 1500V 0.15A
1N2505	SI-D 800V 0.3A
1N2506	SI-D 1000V 0.3A
1N2507	SI-D 1200V 0.3A
1N2508	SI-D 1500V 0.3A
1N2512	SI-D 100V 4A
1N2513	SI-D 200V 4A
1N2514	SI-D 300V 4A
1N2515	SI-D 400V 4A
1N2516	SI-D 500V 4A
1N2517	SI-D 600V 4A
1N2518	SI-D 100V 4A ISO
1N2519	SI-D 200V 4A ISO
1N2520	SI-D 300V 4A ISO
1N2521	SI-D 400V 4A ISO
1N2522	SI-D 500V 4A ISO
1N2523	SI-D 600V 4A ISO
1N2524	SI-D 50V 2.5A
1N2525	SI-D 100V 2.5A
1N2526	SI-D 200V 2.5A
1N2527	SI-D 300V 2.5A
1N2528	SI-D 400V 2.5A
1N2529	SI-D 500V 2.5A
1N2530	SI-D 600V 2.5A
1N2531	SI-D 700V 2.5A
1N2532	SI-D 800V 2.5A
1N2533	SI-D 900V 2.5A
1N2534	SI-D 1000V 2.5A
1N2535	SI-D 50V 2.5A
1N2536	SI-D 100V 2.5A
1N2537	SI-D 200V 2.5A
1N2538	SI-D 300V 2.5A
1N2539	SI-D 400V 2.5A
1N2540	SI-D 500V 2.5A
1N2541	SI-D 600V 2.5A
1N2542	SI-D 700V 2.5A
1N2543	SI-D 800V 2.5A
1N2544	SI-D 900V 2.5A
1N2545	SI-D 1000V 2.5A
1N2546	SI-D 50V 2.5A
1N2547	SI-D 100V 2.5A
1N2548	SI-D 200V 2.5A
1N2549	SI-D 300V 2.5A
1N2550	SI-D 400V 2.5A
1N2551	SI-D 500V 2.5A
1N2552	SI-D 600V 2.5A
1N2553	SI-D 700V 2.5A
1N2554	SI-D 800V 2.5A
1N2555	SI-D 900V 2.5A
1N2556	SI-D 1000V 2.5A
1N2557	SI-D 700V 6A
1N2558	SI-D 800V 6A
1N2559	SI-D 900V 6A
1N2560	SI-D 1000V 6A
1N2561	SI-D 700V 6A
1N2562	SI-D 800V 6A
1N2563	SI-D 900V 6A
1N2564	SI-D 1000V 6A
1N2565	SI-D 50V 6A
1N2566	SI-D 100V 6A
1N2567	SI-D 200V 6A
1N2568	SI-D 300V 6A
1N2569	SI-D 400V 6A
1N2570	SI-D 500V 6A
1N2571	SI-D 600V 6A
1N2572	SI-D 700V 6A
1N2573	SI-D 800V 6A
1N2574	SI-D 900V 6A
1N2575	SI-D 1000V 6A
1N2576	SI-D 50V 12A
1N2577	SI-D 100V 12A
1N2578	SI-D 200V 12A
1N2579	SI-D 300V 12A
1N2580	SI-D 400V 12A
1N2581	SI-D 500V 12A
1N2582	SI-D 600V 12A
1N2583	SI-D 700V 12A
1N2584	SI-D 800V 12A
1N2585	SI-D 900V 12A
1N2586	SI-D 1000V 12A
1N2587	SI-D 50V 12A
1N2588	SI-D 100V 12A
1N2589	SI-D 200V 12A
1N2590	SI-D 300V 12A
1N2591	SI-D 400V 12A
1N2592	SI-D 500V 12A
1N2593	SI-D 600V 12A
1N2594	SI-D 700V 12A
1N2595	SI-D 800V 12A
1N2596	SI-D 900V 12A
1N2597	SI-D 1000V 12A
1N2598	SI-D 50V 12A
1N2599	SI-D 100V 12A
1N2600	SI-D 200V 12A
1N2601	SI-D 300V 12A
1N2602	SI-D 400V 12A
1N2603	SI-D 500V 12A
1N2604	SI-D 600V 12A
1N2605	SI-D 700V 12A
1N2606	SI-D 800V 12A
1N2607	SI-D 900V 12A
1N2608	SI-D 1000V 12A
1N2609	SI-D 50V 0.75A
1N2610	SI-D 100V 0.75A
1N2611	SI-D 200V 0.75A
1N2612	SI-D 300V 0.75A
1N2613	SI-D 400V 0.75A
1N2614	SI-D 500V 0.75A
1N2615	SI-D 600V 0.75A
1N2616	SI-D 800V 0.75A
1N2617	SI-D 1000V 0.75A
1N2618	SI-D 1200V 0.75A
1N2619	SI-D 1500V 0.75A
1N2627	GE-D UHF-tunung 5V
1N2628	GE-D UHF-tunung 5V
1N2629	GE-D UHF 5V
1N2630	2xSI-D 1500V 0.085A
1N2631	2xSI-D 1600V 0.6A
1N2632	2xSI-D 2800V 0.2A
1N2633	2xSI-D 1600V 0.6A
1N2634	2xSI-D 1600V 0.6A
1N2635	2xSI-D 1500V 0.085A
1N2636	2xSI-D 1500V 0.085A
1N2637	2xSI-D 10KV 0.25A
1N2638	SI-D 100V 1.5A
1N2641	SI-D 200V 1.5A
1N2644	SI-D 300V 1.5A
1N2647	SI-D 400V 1.5A
1N2650	SI-D 600V 1.5A
1N2653	SI-D 800V 1.5A
1N2656	SI-D 1200V 1.5A
1N2659	SI-D 1600V 1.5A
1N2662	SI-D 2000V 1.5A
1N2664	SI-D 2400V 1.5A
1N2666	SI-D 3200V 1.5A
1N2667	SI-D 4000V 1.5A
1N2668	SI-D 4800V 1.5A
1N2669	SI-D 100V 3.6A
1N2673	SI-D 200V 3.6A
1N2677	SI-D 300V 3.6A
1N2681	SI-D 400V 3.6A
1N2685	SI-D 600V 3.6A
1N2687	SI-D 800V 3.6A
1N2689	SI-D 900V 3.6A
1N2690	SI-D 1200V 3.6A
1N2691	SI-D 1600V 3.6A
1N2692	SI-D 100V 7.2A
1N2694	SI-D 200V 7.2A
1N2696	SI-D 300V 7.2A
1N2698	SI-D 400V 7.2A
1N2700	SI-D 600V 7.2A
1N2701	SI-D 800V 7.2A
1N2702	SI-D 100V 3A
1N2705	SI-D 200V 3A
1N2708	SI-D 300V 3A
1N2711	SI-D 400V 3A
1N2714	SI-D 600V 3A
1N2717	SI-D 800V 3A
1N2720	SI-D 1200V 3A
1N2722	SI-D 1600V 3A
1N2723	SI-D 2000V 3A
1N2724	SI-D 2400V 3A
1N2725	SI-D 100V 3A
1N2728	SI-D 200V 3A
1N2731	SI-D 300V 3A
1N2734	SI-D 400V 3A
1N2737	SI-D 600V 3A
1N2738	SI-D 800V 3A
1N2739	SI-D 1200V 3A
1N2740	SI-D 100V 3.6A
1N2742	SI-D 200V 3.6A
1N2744	SI-D 300V 3.6A
1N2746	SI-D 400V 3.6A
1N2748	SI-D 600V 3.6A
1N2749	SI-D 800V 3.6A
1N2750	SI-D 100V 3A
1N2753	SI-D 200V 3A
1N2756	SI-D 300V 3A
1N2759	SI-D 400V 3A
1N2762	SI-D 600V 3A
